id,school name,time of arrival,start time,duration
1099,LITTLE SPROUTS,7:08,,1:15
1172,RIVER HEIGHTS AM,7:27,,1:08
1165,RIVER HEIGHTS AM,7:32,,1:03
1125,ABC'S DAYCARE,7:39,,0:14
1010,ABC'S DAYCARE,7:42,,0:11
1197,SUNSHINE LEARNI,7:44,,0:11
1195,ABC'S DAYCARE,7:45,,0:08
1196,ABC'S DAYCARE,7:45,,0:08
DROPOFF,ABC'S DAYCARE,7:53,8:00
DROPOFF,SUNSHINE LEARNI,7:55,8:05
1194,MILESTONES EDUC AM,8:03,,0:09
DROPOFF,MILESTONES EDUC AM,8:12,8:15
DROPOFF,LITTLE SPROUTS,8:23,8:30
1167,RIVER HEIGHTS AM,8:33,,0:02
DROPOFF,RIVER HEIGHTS AM,8:35,8:45
1155,RIVER HEIGHTS AM,7:06,,1:29
1138,MILESTONES EDUC AM,7:08,,1:00
1135,MILESTONES EDUC AM,7:08,,1:00
1222,SUNSHINE LEARNI,7:21,,0:40
1127,MILESTONES EDUC AM,7:40,,0:28
1186,ABC'S DAYCARE,7:49,,0:05
DROPOFF,ABC'S DAYCARE,7:54,8:00
1132,MILESTONES EDUC AM,7:57,,0:11
DROPOFF,SUNSHINE LEARNI,8:01,8:05
1131,MILESTONES EDUC AM,8:03,,0:05
DROPOFF,MILESTONES EDUC AM,8:08,8:15
1016,BOUNCING BABIES AM,8:18,,0:04
DROPOFF,BOUNCING BABIES AM,8:22,8:30
1173,RIVER HEIGHTS AM,8:29,,0:06
DROPOFF,RIVER HEIGHTS AM,8:35,8:45
1225,SUNSHINE LEARNI,7:04,,0:57
1139,MILESTONES EDUC AM,7:27,,0:40
1012,BOUNCING BABIES AM,7:39,,0:47
1130,MILESTONES EDUC AM,7:42,,0:25
1003,ABC'S DAYCARE,7:44,,0:07
1013,BOUNCING BABIES AM,7:45,,0:41
1008,ABC'S DAYCARE,7:45,,0:06
DROPOFF,ABC'S DAYCARE,7:51,8:00
1141,MILESTONES EDUC AM,7:57,,0:10
DROPOFF,SUNSHINE LEARNI,8:01,8:05
1129,MILESTONES EDUC AM,8:03,,0:04
DROPOFF,MILESTONES EDUC AM,8:07,8:15
1156,RIVER HEIGHTS AM,8:12,,0:23
DROPOFF,BOUNCING BABIES AM,8:26,8:30
DROPOFF,RIVER HEIGHTS AM,8:35,8:45
1128,MILESTONES EDUC AM,6:53,,1:13
1219,SUNSHINE LEARNI,7:20,,0:41
1136,MILESTONES EDUC AM,7:27,,0:39
1189,MILESTONES EDUC AM,7:38,,0:28
1168,RIVER HEIGHTS AM,7:38,,0:57
1157,RIVER HEIGHTS AM,7:46,,0:49
1159,RIVER HEIGHTS AM,7:47,,0:48
1161,RIVER HEIGHTS AM,7:50,,0:45
1221,SUNSHINE LEARNI,7:51,,0:10
DROPOFF,SUNSHINE LEARNI,8:01,8:05
DROPOFF,MILESTONES EDUC AM,8:06,8:15
1039,BOUNCING BABIES AM,8:19,,0:07
DROPOFF,BOUNCING BABIES AM,8:26,8:30
DROPOFF,RIVER HEIGHTS AM,8:35,8:45
1187,ABC'S DAYCARE,7:00,,1:00
1036,BOUNCING BABIES AM,7:14,,1:11
1009,ABC'S DAYCARE,7:27,,0:33
1170,RIVER HEIGHTS AM,7:33,,1:02
1163,RIVER HEIGHTS AM,7:38,,0:57
1011,ABC'S DAYCARE,7:44,,0:16
1119,ABC'S DAYCARE,7:47,,0:13
1017,BOUNCING BABIES AM,7:51,,0:34
DROPOFF,ABC'S DAYCARE,8:00,8:00
1019,BOUNCING BABIES AM,8:23,,0:02
DROPOFF,BOUNCING BABIES AM,8:25,8:30
1166,RIVER HEIGHTS AM,8:30,,0:05
DROPOFF,RIVER HEIGHTS AM,8:35,8:45
1023,BOUNCING BABIES PM,10:49,,1:22
1179,RIVER HEIGHTS PM,11:14,,1:06
1120,BOUNCING BABIES PM,11:31,,0:40
1026,BOUNCING BABIES PM,11:44,,0:27
1027,BOUNCING BABIES PM,11:55,,0:16
1174,RIVER HEIGHTS PM,12:03,,0:17
1034,BOUNCING BABIES PM,12:08,,0:03
DROPOFF,BOUNCING BABIES PM,12:11,12:30
DROPOFF,RIVER HEIGHTS PM,12:20,12:30
1148,MILESTONES EDUC PM,10:40,,1:21
1041,BOUNCING BABIES PM,11:03,,1:08
1182,RIVER HEIGHTS PM,11:23,,0:57
1123,MILESTONES EDUC PM,11:31,,0:30
1142,MILESTONES EDUC PM,11:38,,0:23
1144,MILESTONES EDUC PM,11:45,,0:16
1149,MILESTONES EDUC PM,11:49,,0:12
DROPOFF,MILESTONES EDUC PM,12:01,12:10
DROPOFF,BOUNCING BABIES PM,12:11,12:30
DROPOFF,RIVER HEIGHTS PM,12:20,12:30
1185,RIVER HEIGHTS PM,11:13,,1:07
1176,RIVER HEIGHTS PM,11:33,,0:47
1184,RIVER HEIGHTS PM,11:40,,0:40
1033,BOUNCING BABIES PM,11:42,,0:29
1181,RIVER HEIGHTS PM,11:47,,0:33
1151,MILESTONES EDUC PM,11:47,,0:09
DROPOFF,MILESTONES EDUC PM,11:56,12:10
1180,RIVER HEIGHTS PM,12:05,,0:15
DROPOFF,BOUNCING BABIES PM,12:11,12:30
DROPOFF,RIVER HEIGHTS PM,12:20,12:30
