id,school name,time of arrival,start time,time of drop off,end time,duration
1099,LITTLE SPROUTS,7:08,,1:15
1172,RIVER HEIGHTS AM,7:27,,1:07
1165,RIVER HEIGHTS AM,7:32,,1:02
1125,ABC'S DAYCARE,7:39,,0:14
1010,ABC'S DAYCARE,7:42,,0:11
1197,SUNSHINE LEARNI,7:44,,0:10
1195,ABC'S DAYCARE,7:45,,0:08
1196,ABC'S DAYCARE,7:45,,0:08
DROPOFF,ABC'S DAYCARE,7:53,8:00
DROPOFF,SUNSHINE LEARNI,7:55,8:05
1194,MILESTONES EDUC AM,8:03,,0:09
DROPOFF,MILESTONES EDUC AM,8:12,8:15
DROPOFF,LITTLE SPROUTS,8:23,8:30
1167,RIVER HEIGHTS AM,8:33,,0:01
DROPOFF,RIVER HEIGHTS AM,8:35,8:45
PICKUP,ABC'S DAYCARE,11:00,11:00
1195,ABC'S DAYCARE,11:08,,0:08
PICKUP,MILESTONES EDUC AM,11:17,11:15
1010,ABC'S DAYCARE,11:26,,0:26
PICKUP,RIVER HEIGHTS AM,11:26,11:25
1194,MILESTONES EDUC AM,11:28,,0:11
PICKUP,LITTLE SPROUTS,11:36,11:30
PICKUP,SUNSHINE LEARNI,11:46,11:30
1196,ABC'S DAYCARE,11:55,,0:55
1197,SUNSHINE LEARNI,11:55,,0:09
1125,ABC'S DAYCARE,11:59,,0:59
1167,RIVER HEIGHTS AM,12:02,,0:35
1165,RIVER HEIGHTS AM,12:10,,0:43
1172,RIVER HEIGHTS AM,12:15,,0:48
1099,LITTLE SPROUTS,12:34,,0:58
,,,,NEXT
1127,MILESTONES EDUC AM,6:57,,1:10
1155,RIVER HEIGHTS AM,7:22,,1:12
1138,MILESTONES EDUC AM,7:24,,0:43
1135,MILESTONES EDUC AM,7:24,,0:43
1222,SUNSHINE LEARNI,7:37,,0:23
1186,ABC'S DAYCARE,7:49,,0:05
DROPOFF,ABC'S DAYCARE,7:54,8:00
1132,MILESTONES EDUC AM,7:57,,0:10
DROPOFF,SUNSHINE LEARNI,8:01,8:05
1131,MILESTONES EDUC AM,8:03,,0:05
DROPOFF,MILESTONES EDUC AM,8:08,8:15
1016,BOUNCING BABIES AM,8:18,,0:03
DROPOFF,BOUNCING BABIES AM,8:22,8:30
1173,RIVER HEIGHTS AM,8:29,,0:05
DROPOFF,RIVER HEIGHTS AM,8:35,8:45
PICKUP,ABC'S DAYCARE,11:00,11:00
1186,ABC'S DAYCARE,11:05,,0:05
PICKUP,MILESTONES EDUC AM,11:10,11:15
1132,MILESTONES EDUC AM,11:15,,0:04
PICKUP,RIVER HEIGHTS AM,11:21,11:25
1131,MILESTONES EDUC AM,11:29,,0:18
PICKUP,SUNSHINE LEARNI,11:31,11:30
1173,RIVER HEIGHTS AM,11:36,,0:14
PICKUP,BOUNCING BABIES AM,11:42,11:45
